Date,Volume,Open,Close,High,Low
5/29/2024,2437968,1399.1,1390.67,1399.1,1383
5/28/2024,2109730,1410,1412.45,1417.1813,1392.54
5/24/2024,1572675,1399.79,1407.84,1413.5844,1392.0242
5/23/2024,3007852,1428.43,1393.29,1429,1378
5/22/2024,1856724,1396.01,1392.24,1405,1384.22
5/21/2024,1471904,1398.68,1399.2,1409.39,1393.46
5/20/2024,2457503,1396,1414.03,1416.94,1393.16
5/17/2024,1768160,1412.42,1395.29,1419.53,1381.78
5/16/2024,2685848,1426,1412.13,1445.4,1405.06
5/15/2024,3193168,1380,1436.17,1438.95,1369.975
5/14/2024,1917199,1332.34,1380.03,1381.99,1325.8
5/13/2024,1822515,1348,1337.51,1358.39,1330.11
5/10/2024,1617032,1315.31,1332.8,1344,1315.31
5/9/2024,1198157,1317.83,1305.67,1321.61,1302
5/8/2024,1359636,1293.5,1325.37,1337.905,1288.49
5/7/2024,1205418,1316.44,1303.11,1318.99,1296.755
5/6/2024,1562222,1286.225,1310.31,1310.77,1275.07
5/3/2024,2458924,1259,1278.11,1283.88,1247.14
5/2/2024,2890804,1256.28,1238.57,1264.45,1223.31
5/1/2024,3069182,1278.33,1242.86,1292.37,1241.345
4/30/2024,2150338,1328.88,1300.27,1348.35,1299.05
4/29/2024,1230774,1344.08,1338.62,1352.98,1325.695
4/26/2024,2313167,1310,1344.07,1355.83,1303.13
4/25/2024,2971040,1272.45,1294.42,1308.03,1257
4/24/2024,1864157,1263.9,1256.82,1285.62,1244.96
4/23/2024,2133464,1228.17,1249.19,1257.9,1228.02
4/22/2024,2411951,1224.5,1224.46,1233.2,1200.54
4/19/2024,4372995,1258.99,1204.71,1260,1197.56
4/18/2024,2421615,1288,1258.99,1292.65,1255.46
4/17/2024,2340773,1343.11,1282.63,1347,1281.42
4/16/2024,1798093,1315.38,1329.06,1336.319,1311
4/15/2024,2429503,1370,1310.69,1370,1306
4/12/2024,2776004,1352.01,1344.07,1366.505,1336.62
4/11/2024,3174966,1332.68,1382.46,1391.87,1323.65
4/10/2024,1740457,1323,1322.37,1335.75,1315.48
4/9/2024,1796770,1357.37,1334.08,1359.48,1308.64
4/8/2024,1340427,1333.65,1336.71,1342.5,1315.7501
4/5/2024,1941098,1326,1339.43,1361.23,1314.195
4/4/2024,2695512,1385.32,1317.5,1403.98,1315
4/3/2024,2859061,1328,1363.21,1376.82,1325.27
4/2/2024,2518495,1315.79,1338.76,1342.37,1303.4138
4/1/2024,1723489,1325.68,1350.26,1362.98,1325.41
3/28/2024,2086290,1317.9,1325.41,1330.09,1311.53
3/27/2024,2517313,1350,1318.73,1350,1296.02
3/26/2024,2349056,1364.69,1331.49,1379.9377,1330.51
3/25/2024,2118430,1345.03,1351.58,1358.4399,1337.47
3/22/2024,3770446,1350,1353.47,1376.22,1346.15
3/21/2024,7252322,1328.32,1348,1403.61,1316
3/20/2024,4079862,1239.02,1276,1287.99,1226.59
3/19/2024,2442609,1216.95,1238.01,1240.27,1204.02
3/18/2024,2533201,1253.98,1237.24,1262.88,1231.7
3/15/2024,8874442,1253.46,1235.5,1267.37,1230.07
3/14/2024,3796330,1262.54,1262.27,1273.13,1247.71
3/13/2024,3720071,1282.88,1257.87,1282.88,1252.355
3/12/2024,4221959,1307,1291.88,1307.79,1259.28
3/11/2024,3105412,1277.93,1293.12,1299.02,1252.56
3/8/2024,7381948,1394.25,1308.72,1413,1301.58
3/7/2024,5883727,1381.99,1407.01,1414.31,1372.89
3/6/2024,4258328,1391.58,1350,1394.83,1347.06
3/5/2024,3571980,1395,1342.75,1395,1332.37
3/4/2024,3449476,1403.15,1402.26,1438.17,1385.19
3/1/2024,4390344,1325.93,1399.17,1407.76,1320
2/29/2024,2835526,1303.31,1300.49,1308.395,1287.275
2/28/2024,1108381,1293,1289.42,1298.52,1282.9734
2/27/2024,1207426,1309.13,1296.23,1311.94,1292.22
2/26/2024,1626575,1310,1309.13,1318.7899,1301.46
2/23/2024,2308454,1308.37,1296.37,1319.62,1288.82
2/22/2024,4026988,1281.71,1304.9,1310.98,1276.47
2/21/2024,2004985,1218,1227.45,1228.05,1202.64
2/20/2024,2608038,1235.86,1226.55,1237.72,1212.56
2/16/2024,2127693,1259.04,1245.48,1275.6846,1242.39
2/15/2024,2187344,1279.95,1265.07,1280,1244.85
2/14/2024,2601613,1269.24,1262.22,1273,1241.3179
2/13/2024,3129225,1235.12,1251.65,1255.87,1227.09
2/12/2024,2428802,1290.01,1265,1290.07,1259
2/9/2024,2598333,1252.03,1283.44,1285.75,1248.99
2/8/2024,2930746,1267,1274.76,1295.97,1265.01
2/7/2024,2568551,1234,1257.06,1259.51,1226.7
2/6/2024,2530838,1263.57,1222.65,1272.1099,1211.94
2/5/2024,2204413,1226.96,1243.1,1247.7522,1222.15
2/2/2024,2665315,1208.75,1224.34,1234.69,1205.15
2/1/2024,1941128,1187.35,1200.01,1203.09,1179.11
1/31/2024,2691209,1189.45,1180,1197.22,1174.31
1/30/2024,2058032,1216.77,1208.16,1228,1204.29
1/29/2024,2129678,1214.91,1217.77,1223.67,1204.995
1/26/2024,2579940,1219.7,1204.88,1221.21,1200.23
1/25/2024,3622069,1281,1230,1281,1228.8
1/24/2024,3477918,1242.295,1253.87,1284.5499,1231.0093
1/23/2024,1689330,1221,1226.31,1226.98,1203.52
1/22/2024,3043297,1216.25,1220.5,1231.33,1208.2177
1/19/2024,5207092,1157.31,1211.2,1217,1156
1/18/2024,3209880,1124.9,1143.91,1146.548,1121.88
1/17/2024,1830129,1106.29,1103.67,1113.11,1090.215
1/16/2024,2601761,1112.34,1114.96,1126.2431,1098.63
1/12/2024,2687392,1112.1,1107.68,1115.6899,1100.01
1/11/2024,2568861,1084.32,1099.98,1101.3,1074.505
1/10/2024,1761450,1080.35,1080.57,1082.955,1062.6047
1/9/2024,2321243,1065.62,1082.49,1088.5499,1064.71
1/8/2024,3308653,1056.5,1074.85,1077.9999,1052.0018
1/5/2024,2246937,1051.6,1049.28,1055.46,1041.51
1/4/2024,2565803,1057.96,1049.01,1069.497,1047.37
1/3/2024,3357524,1070.2,1058.58,1075,1055.31
1/2/2024,2882253,1092.12,1085.38,1102,1077.09
12/29/2023,2053272,1121.46,1116.25,1124.38,1114.67
12/28/2023,2124225,1131.69,1122.41,1132.24,1119.05
12/27/2023,1981747,1136,1126.17,1139.57,1122.9601
12/26/2023,1678586,1124.24,1131.89,1135.5,1123.02
12/22/2023,1796446,1127.98,1121.98,1132,1113.53
12/21/2023,2407815,1132.65,1127.29,1135.42,1115
12/20/2023,3410703,1132.7,1110.38,1141.36,1109.26
12/19/2023,3598103,1142,1139.58,1150.46,1132.505
12/18/2023,5423429,1120.8,1147,1151.82,1118.64
12/15/2023,11843639,1095.22,1129.74,1149.8799,1094.6184
12/14/2023,6701069,1092.18,1106.49,1121.46,1090.28
12/13/2023,6970783,1068,1089.69,1099.78,1062.54
12/12/2023,9016045,1027.99,1072.28,1079.39,1024.58
12/11/2023,10090521,957.01,1029.24,1039.51,956.09
12/8/2023,6854380,927.84,944.3,950.73,910.5262
12/7/2023,4165905,905.54,922.26,924.12,903.64
12/6/2023,2477827,920.36,903.64,920.97,903.1
